aptDong,aptNm,aptSeq,bonbun,bubun,buildYear,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,excluUseAr,floor,jibun,landCd,landLeaseholdGbn,rgstDate
 ,두산,11110-34,0232,0000,1999, , , ,"33,300",24,11,2011, , ,59.95,21,232,1,N, 
 ,인왕산아이파크,11110-2212,0060,0000,2008, , , ,"83,000",19,11,2011, , ,114.931,11,60,1,N, 
 ,경희궁의아침2단지,11110-115,0071,0000,2004, , , ,"125,000",11,11,2011, , ,140.78,6,71,1,N, 
 ,아남1,11110-25,0004,0000,1995, , , ,"51,000",18,11,2011, , ,84.8,9,4,1,N, 
 ,인왕산아이파크,11110-2212,0060,0000,2008, , , ,"62,000",26,11,2011, , ,84.858,4,60,1,N, 
 ,CS타워,11110-2291,0062,0002,2011, , , ,"18,150",16,11,2011, , ,21.94,8,62-2,1,N, 
 ,광화문스페이스본(101동~105동),11110-2203,0009,0000,2008, , , ,"78,000",11,11,2011, , ,94.51,9,9,1,N, 
 ,인왕산아이파크,11110-2212,0060,0000,2008, , , ,"84,500",6,11,2011, , ,114.931,2,60,1,N, 
 ,경희궁파크팰리스,11110-107,0095,0000,2003, , , ,"135,000",23,11,2011, , ,146.39,7,95,1,N, 
 ,광화문스페이스본(101동~105동),11110-2203,0009,0000,2008, , , ,"95,000",21,11,2011, , ,108.55,14,9,1,N, 
 ,아남1,11110-25,0004,0000,1995, , , ,"55,000",7,11,2011, , ,84.9,6,4,1,N, 
 ,종로센트레빌,11110-2224,0002,0001,2008, , , ,"37,000",18,11,2011, , ,59.92,9,2-1,1,N, 
 ,아남1,11110-25,0004,0000,1995, , , ,"58,000",14,11,2011, , ,84.9,17,4,1,N, 
 ,아남2,11110-92,0236,0000,1996, , , ,"77,300",6,11,2011, , ,114.36,3,236,1,N, 
 ,인왕산아이파크,11110-2212,0060,0000,2008, , , ,"66,000",9,11,2011, , ,84.858,13,60,1,N, 
 ,효자,11110-204,0005,0001,1999, , , ,"24,000",29,12,2011, , ,68.07,3,5-1,1,N, 
 ,창신쌍용1,11110-37,0702,0000,1992, , , ,"27,000",20,12,2011, , ,54.7,6,702,1,N, 
 ,롯데낙천대,11110-71,0072,0000,2001, , , ,"51,000",27,12,2011, , ,91.06,5,72,1,N, 
 ,브라운스톤창신,11110-2150,0023,0076,2006, , , ,"40,000",30,12,2011, , ,84.87,5,23-76,1,N, 
 ,종로청계힐스테이트,11110-2234,0766,0000,2009, , , ,"52,500",30,12,2011, , ,84.9478,14,766,1,N, 
 ,종로청계힐스테이트,11110-2234,0766,0000,2009, , , ,"50,000",30,12,2011, , ,84.9478,5,766,1,N, 
 ,롯데캐슬천지인,11110-152,0076,0000,2004, , , ,"56,000",23,12,2011, , ,84.95,19,76,1,N, 
 ,두산,11110-34,0232,0000,1999, , , ,"49,000",29,12,2011, , ,84.9,16,232,1,N, 
 ,운현신화타워,11110-16,0030,0006,1998, , , ,"41,000",20,12,2011, , ,84.91,8,30-6,1,N, 
 ,현대,11110-90,0082,0000,2000, , , ,"36,280",27,12,2011, , ,60,12,82,1,N, 
 ,별빛고운,11110-2132,0235,0002,2006, , , ,"35,000",6,12,2011, , ,104.94,3,235-2,1,N, 
 ,현대뜨레비앙,11110-102,0055,0000,2003, , , ,"24,300",18,12,2011, , ,39.9,9,55,1,N, 
 ,창신쌍용1,11110-37,0702,0000,1992, , , ,"27,800",6,12,2011, , ,54.7,12,702,1,N, 
 ,갑을아파트,11110-68,0595,0000,1997, , , ,"10,500",3,12,2011, , ,30.46,5,595,1,N, 
 ,창림,11110-111,0639,0020,1994, , , ,"17,700",14,12,2011, , ,58.62,1,639-20,1,N, 
 ,종로센트레빌,11110-2224,0002,0001,2008, , , ,"52,000",23,12,2011, , ,84.92,7,2-1,1,N, 
 ,현대,11110-90,0082,0000,2000, , , ,"46,640",7,12,2011, , ,84.92,7,82,1,N, 
 ,하림빌라트,11110-131,0473,0000,1998, , , ,"12,000",1,12,2011, , ,30.41,2,473,1,N, 
 ,광화문스페이스본(101동~105동),11110-2203,0009,0000,2008, , , ,"94,000",2,12,2011, , ,108.55,3,9,1,N, 
 ,두산,11110-34,0232,0000,1999, , , ,"48,000",10,12,2011, , ,84.9,23,232,1,N, 
 ,아남1,11110-25,0004,0000,1995, , , ,"57,000",19,12,2011, , ,84.9,12,4,1,N, 
 ,인왕산아이파크,11110-2212,0060,0000,2008, , , ,"59,850",5,12,2011, , ,84.858,7,60,1,N, 
 ,종로센트레빌,11110-2224,0002,0001,2008, , , ,"40,750",5,12,2011, , ,59.92,11,2-1,1,N, 
 ,종로청계힐스테이트,11110-2234,0766,0000,2009, , , ,"39,000",12,12,2011, , ,59.9426,1,766,1,N, 
 ,인왕산아이파크,11110-2212,0060,0000,2008, , , ,"57,000",8,12,2011, , ,84.858,15,60,1,N, 
 ,삼성,11110-73,0596,0000,1998, , , ,"37,500",7,12,2011, , ,84.98,8,596,1,N, 
 ,효성쥬얼리시티,11110-2155,0048,0002,2006, , , ,"108,000",7,12,2011, , ,186.17,19,48-2,1,N, 
 ,크래스빌,11110-101,0046,0001,2003, , , ,"73,500",5,12,2011, , ,175.81,5,46-1,1,N, 
 ,창신쌍용1,11110-37,0702,0000,1992, , , ,"36,000",27,1,2012, , ,79.87,8,702,1,N, 
 ,렉스팰리스,11110-2071,0095,0001,2005, , , ,"44,500",30,1,2012, , ,140.56,4,95-1,1,N, 
 ,광화문스페이스본(101동~105동),11110-2203,0009,0000,2008, , , ,"65,800",17,1,2012, , ,94.51,1,9,1,N, 
 ,창신쌍용1,11110-37,0702,0000,1992, , , ,"31,000",10,1,2012, , ,79.87,4,702,1,N, 
 ,두산,11110-34,0232,0000,1999, , , ,"34,300",26,1,2012, , ,59.95,4,232,1,N, 
 ,현대뜨레비앙,11110-102,0055,0000,2003, , , ,"22,800",11,1,2012, , ,46.64,5,55,1,N, 
 ,종로청계힐스테이트,11110-2234,0766,0000,2009, , , ,"56,500",9,1,2012, , ,84.9478,14,766,1,N, 
 ,광화문스페이스본(101동~105동),11110-2203,0009,0000,2008, , , ,"100,500",14,1,2012, , ,108.55,11,9,1,N, 
 ,광화문스페이스본(101동~105동),11110-2203,0009,0000,2008, , , ,"70,000",4,1,2012, , ,95.88,6,9,1,N, 
 ,대아파크빌,11110-86,0254,0000,1998, , , ,"23,900",28,1,2012, , ,59.22,4,254,1,N, 
 ,동대문,11110-30,0328,0017,1966, , , ,"25,000",13,1,2012, , ,28.8,4,328-17,1,N, 
 ,현대뜨레비앙,11110-102,0055,0000,2003, , , ,"19,000",10,1,2012, , ,36.08,6,55,1,N, 
 ,삼성,11110-73,0596,0000,1998, , , ,"33,200",21,1,2012, , ,84.93,1,596,1,N, 
 ,창신쌍용1,11110-37,0702,0000,1992, , , ,"40,000",12,1,2012, , ,106.62,3,702,1,N, 
 ,운현신화타워,11110-16,0030,0006,1998, , , ,"28,000",20,1,2012, , ,84.87,6,30-6,1,N, 
 ,현대뜨레비앙,11110-102,0055,0000,2003, , , ,"25,000",2,1,2012, , ,45.5,9,55,1,N, 
 ,프라임캐슬(케이빌라트),11110-151,0265,0010,2002, , , ,"23,000",13,1,2012, , ,88.89,2,265-10,1,N, 
 ,롯데캐슬로잔,11110-2246,0108,0000,2009, , , ,"126,569",9,2,2012, , ,191.725,3,108,1,N, 
 ,롯데캐슬로잔,11110-2246,0108,0000,2009, , , ,"136,710",22,2,2012, , ,191.725,4,108,1,N, 
 ,동일상가,11110-47,0232,0029,1971, , , ,"15,300",23,2,2012, , ,61.71,4,232-29,1,N, 
 ,대아파크빌,11110-86,0254,0000,1998, , , ,"24,000",25,2,2012, , ,59.22,12,254,1,N, 
 ,창신쌍용2,11110-91,0703,0000,1993, , , ,"29,000",28,2,2012, , ,79.87,4,703,1,N, 
 ,창신쌍용2,11110-91,0703,0000,1993, , , ,"43,000",29,2,2012, , ,106.62,11,703,1,N, 
 ,경희궁의아침4단지,11110-117,0073,0000,2004, , , ,"115,000",29,2,2012, , ,124.17,9,73,1,N, 
 ,롯데낙천대,11110-71,0072,0000,2001, , , ,"47,200",27,2,2012, , ,84.21,6,72,1,N, 
 ,롯데캐슬로잔,11110-2246,0108,0000,2009, , , ,"134,106",13,2,2012, , ,190.743,3,108,1,N, 
 ,롯데캐슬로잔,11110-2246,0108,0000,2009, , , ,"136,276",10,2,2012, , ,190.743,2,108,1,N, 
 ,롯데캐슬로잔,11110-2246,0108,0000,2009, , , ,"166,394",29,2,2012, , ,219.775,2,108,1,N, 
 ,롯데캐슬로잔,11110-2246,0108,0000,2009, , , ,"141,222",17,2,2012, , ,184.907,6,108,1,N, 
 ,롯데캐슬로잔,11110-2246,0108,0000,2009, , , ,"139,014",24,2,2012, , ,190.743,2,108,1,N, 
 ,롯데캐슬로잔,11110-2246,0108,0000,2009, , , ,"133,064",21,2,2012, , ,184.907,8,108,1,N, 
 ,롯데캐슬로잔,11110-2246,0108,0000,2009, , , ,"125,946",9,2,2012, , ,190.743,1,108,1,N, 
 ,롯데캐슬로잔,11110-2246,0108,0000,2009, , , ,"163,010",15,2,2012, , ,219.775,1,108,1,N, 
 ,롯데캐슬로잔,11110-2246,0108,0000,2009, , , ,"144,402",15,2,2012, , ,190.743,4,108,1,N, 
 ,롯데캐슬로잔,11110-2246,0108,0000,2009, , , ,"182,856",14,2,2012, , ,239.484,10,108,1,N, 
 ,창신쌍용1,11110-37,0702,0000,1992, , , ,"25,700",28,2,2012, , ,54.7,8,702,1,N, 
 ,현대,11110-90,0082,0000,2000, , , ,"67,950",22,2,2012, , ,114.9,16,82,1,N, 
 ,창신쌍용1,11110-37,0702,0000,1992, , , ,"26,500",25,2,2012, , ,54.7,7,702,1,N, 
 ,창신쌍용2,11110-91,0703,0000,1993, , , ,"24,000",4,2,2012, , ,54.7,11,703,1,N, 
 ,운현신화타워,11110-16,0030,0006,1998, , , ,"31,000",22,2,2012, , ,61.5,10,30-6,1,N, 
 ,인왕산아이파크,11110-2212,0060,0000,2008, , , ,"66,000",11,2,2012, , ,84.858,6,60,1,N, 
 ,현대뜨레비앙,11110-102,0055,0000,2003, , , ,"22,700",23,2,2012, , ,45.5,8,55,1,N, 
 ,세종로대우,11110-14,0167,0000,1994, , , ,"43,000",10,2,2012, , ,76.66,15,167,1,N, 
 ,창신쌍용1,11110-37,0702,0000,1992, , , ,"26,000",29,2,2012, , ,54.7,7,702,1,N, 
 ,광화문스페이스본(101동~105동),11110-2203,0009,0000,2008, , , ,"83,500",9,2,2012, , ,94.51,7,9,1,N, 
 ,아남1,11110-25,0004,0000,1995, , , ,"51,250",25,2,2012, , ,84.8,11,4,1,N, 
 ,아남1,11110-25,0004,0000,1995, , , ,"57,500",24,2,2012, , ,84.9,4,4,1,N, 
 ,아남1,11110-25,0004,0000,1995, , , ,"55,000",15,2,2012, , ,84.9,9,4,1,N, 
 ,로얄팰리스스위트,11110-205,0085,0000,2005, , , ,"73,000",22,2,2012, , ,83.35,9,85,1,N, 
 ,삼성,11110-73,0596,0000,1998, , , ,"27,500",21,2,2012, , ,59.97,5,596,1,N, 
 ,창신쌍용2,11110-91,0703,0000,1993, , , ,"41,000",20,2,2012, , ,106.62,12,703,1,N, 
 ,아남1,11110-25,0004,0000,1995, , , ,"53,000",25,2,2012, , ,84.8,16,4,1,N, 
 ,현대뜨레비앙,11110-102,0055,0000,2003, , , ,"21,800",11,2,2012, , ,45.5,6,55,1,N, 
 ,인왕산아이파크,11110-2212,0060,0000,2008, , , ,"67,000",7,2,2012, , ,84.858,12,60,1,N, 
 ,경희궁파크팰리스,11110-107,0095,0000,2003, , , ,"105,000",23,2,2012, , ,148.09,2,95,1,N, 
 ,킹스매너,11110-118,0110,0015,2004, , , ,"60,500",24,2,2012, , ,218.86,1,110-15,1,N, 
 ,삼성,11110-73,0596,0000,1998, , , ,"29,000",9,2,2012, , ,59.97,15,596,1,N, 
 ,현대뜨레비앙,11110-102,0055,0000,2003, , , ,"29,000",17,2,2012, , ,58.78,9,55,1,N, 
 ,동아,11110-51,0101,0000,1995, , , ,"29,500",20,2,2012, , ,59.98,5,101,1,N, 
 ,인왕산아이파크,11110-2212,0060,0000,2008, , , ,"61,000",18,2,2012, , ,84.858,7,60,1,N, 
 ,동성아파트(1동),11110-124,0004,0161,1999, , , ,"13,000",20,2,2012, , ,49.56,1,4-161,1,N, 
 ,명륜동주상복합아남아파트,11110-26,0237,0000,1999, , , ,"46,500",2,2,2012, , ,88.74,8,237,1,N, 
 ,인왕산아이파크,11110-2212,0060,0000,2008, , , ,"50,800",3,2,2012, , ,59.993,10,60,1,N, 
 ,대성아파트,11110-52,0041,0001,1971, , , ,"6,200",16,3,2012, , ,19.27,3,41-1,1,N, 
 ,세종로대우,11110-14,0167,0000,1994, , , ,"30,000",31,3,2012, , ,66.96,13,167,1,N, 
 ,경희궁파크팰리스,11110-107,0095,0000,2003, , , ,"75,000",28,3,2012, , ,117.26,5,95,1,N, 
 ,경희궁파크팰리스,11110-107,0095,0000,2003, , , ,"95,000",29,3,2012, , ,117.26,12,95,1,N, 
 ,두산,11110-34,0232,0000,1999, , , ,"33,500",29,3,2012, , ,59.95,3,232,1,N, 
 ,현대,11110-90,0082,0000,2000, , , ,"47,950",31,3,2012, , ,84.92,6,82,1,N, 
 ,현대뜨레비앙,11110-102,0055,0000,2003, , , ,"22,800",21,3,2012, , ,46.64,3,55,1,N, 
 ,현대,11110-90,0082,0000,2000, , , ,"53,900",3,3,2012, , ,84.92,16,82,1,N, 
 ,종로센트레빌,11110-2224,0002,0001,2008, , , ,"48,000",5,3,2012, , ,84.92,8,2-1,1,N, 
 ,창신쌍용2,11110-91,0703,0000,1993, , , ,"24,200",16,3,2012, , ,64.66,1,703,1,N, 
 ,현대뜨레비앙,11110-102,0055,0000,2003, , , ,"24,500",15,3,2012, , ,48.54,5,55,1,N, 
 ,두산,11110-34,0232,0000,1999, , , ,"45,700",29,3,2012, , ,84.9,7,232,1,N, 
 ,광화문스페이스본(101동~105동),11110-2203,0009,0000,2008, , , ,"122,000",15,3,2012, , ,159.01,11,9,1,N, 
 ,롯데캐슬로잔,11110-2246,0108,0000,2009, , , ,"132,108",28,3,2012, , ,190.743,1,108,1,N, 
 ,롯데캐슬로잔,11110-2246,0108,0000,2009, , , ,"147,994",27,3,2012, , ,200.165,4,108,1,N, 
 ,롯데캐슬로잔,11110-2246,0108,0000,2009, , , ,"136,448",7,3,2012, , ,200.165,1,108,1,N, 
 ,창신쌍용1,11110-37,0702,0000,1992, , , ,"26,000",27,3,2012, , ,54.7,11,702,1,N, 
 ,롯데낙천대,11110-71,0072,0000,2001, , , ,"49,000",17,3,2012, , ,91.06,10,72,1,N, 
 ,효성쥬얼리시티,11110-2155,0048,0002,2006, , , ,"47,000",28,3,2012, , ,84.64,14,48-2,1,N, 
 ,창신쌍용1,11110-37,0702,0000,1992, , , ,"26,500",12,3,2012, , ,54.7,10,702,1,N, 
 ,롯데미도파광화문빌딩,11110-12,0145,0000,1981, , , ,"29,000",15,3,2012, , ,65.79,8,145,1,N, 
 ,창신쌍용2,11110-91,0703,0000,1993, , , ,"31,000",26,3,2012, , ,106.62,1,703,1,N, 
 ,두산,11110-34,0232,0000,1999, , , ,"35,000",22,3,2012, , ,59.95,12,232,1,N, 
 ,로얄팰리스스위트,11110-205,0085,0000,2005, , , ,"31,200",13,3,2012, , ,39.67,13,85,1,N, 
 ,삼성,11110-73,0596,0000,1998, , , ,"37,000",3,3,2012, , ,84.93,1,596,1,N, 
 ,명륜동주상복합아남아파트,11110-26,0237,0000,1999, , , ,"25,000",21,3,2012, , ,50.49,4,237,1,N, 
 ,창신쌍용1,11110-37,0702,0000,1992, , , ,"26,000",17,3,2012, , ,54.7,12,702,1,N, 
 ,광화문스페이스본(101동~105동),11110-2203,0009,0000,2008, , , ,"78,800",3,4,2012, , ,94.51,4,9,1,N, 
 ,아남1,11110-25,0004,0000,1995, , , ,"56,000",3,4,2012, , ,84.9,17,4,1,N, 
 ,브라운스톤창신,11110-2150,0023,0076,2006, , , ,"42,700",17,4,2012, , ,84.87,13,23-76,1,N, 
 ,창신쌍용2,11110-91,0703,0000,1993, , , ,"30,000",16,4,2012, , ,79.87,8,703,1,N, 
 ,창신쌍용2,11110-91,0703,0000,1993, , , ,"25,800",16,4,2012, , ,64.66,11,703,1,N, 
 ,두산,11110-34,0232,0000,1999, , , ,"49,500",27,4,2012, , ,84.9,6,232,1,N, 
 ,두산,11110-34,0232,0000,1999, , , ,"33,900",26,4,2012, , ,59.95,7,232,1,N, 
 ,아남1,11110-25,0004,0000,1995, , , ,"56,000",8,4,2012, , ,84.9,17,4,1,N, 
 ,청운현대,11110-4,0056,0045,2000, , , ,"51,500",20,4,2012, , ,68.43,1,56-45,1,N, 
 ,대성아파트,11110-52,0041,0001,1971, , , ,"12,250",4,4,2012, , ,45.39,1,41-1,1,N, 
 ,갑을아파트,11110-68,0595,0000,1997, , , ,"9,600",5,4,2012, , ,30.46,8,595,1,N, 
 ,효성쥬얼리시티,11110-2155,0048,0002,2006, , , ,"50,000",7,4,2012, , ,98.39,14,48-2,1,N, 
 ,두산,11110-34,0232,0000,1999, , , ,"48,100",24,4,2012, , ,84.9,8,232,1,N, 
 ,창신쌍용2,11110-91,0703,0000,1993, , , ,"26,700",9,4,2012, , ,64.66,13,703,1,N, 
 ,광화문스페이스본(101동~105동),11110-2203,0009,0000,2008, , , ,"109,000",2,4,2012, , ,146.92,3,9,1,N, 
 ,경희궁의아침3단지,11110-116,0072,0000,2004, , , ,"116,000",27,4,2012, , ,150.48,14,72,1,N, 
 ,현대,11110-90,0082,0000,2000, , , ,"51,900",30,4,2012, , ,84.92,17,82,1,N, 
 ,창신쌍용1,11110-37,0702,0000,1992, , , ,"25,000",8,4,2012, , ,54.7,5,702,1,N, 
 ,창신쌍용1,11110-37,0702,0000,1992, , , ,"26,500",12,4,2012, , ,54.7,12,702,1,N, 
 ,벽산블루밍평창힐스,11110-146,0045,0000,2004, , , ,"77,000",5,4,2012, , ,152.06,1,45,1,N, 
 ,오성,11110-49,0888,0000,1997, , , ,"17,900",9,4,2012, , ,56.66,4,888,1,N, 
 ,종로청계힐스테이트,11110-2234,0766,0000,2009, , , ,"40,500",27,4,2012, , ,59.9426,8,766,1,N, 
 ,인왕산아이파크,11110-2212,0060,0000,2008, , , ,"60,000",10,4,2012, , ,84.858,9,60,1,N, 
 ,두산,11110-34,0232,0000,1999, , , ,"48,000",13,4,2012, , ,84.9,12,232,1,N, 
 ,광화문스페이스본(101동~105동),11110-2203,0009,0000,2008, , , ,"67,000",12,4,2012, , ,95.88,4,9,1,N, 
 ,렉스빌,11110-973,0019,0000,2006, , , ,"62,000",26,4,2012, , ,143.68,3,19,1,N, 
 ,창신쌍용2,11110-91,0703,0000,1993, , , ,"31,000",17,4,2012, , ,79.87,4,703,1,N, 
 ,현대,11110-90,0082,0000,2000, , , ,"52,290",9,4,2012, , ,84.92,8,82,1,N, 
 ,CS타워,11110-2291,0062,0002,2011, , , ,"17,033",25,4,2012, , ,21.94,7,62-2,1,N, 
 ,광화문스페이스본(101동~105동),11110-2203,0009,0000,2008, , , ,"69,000",3,4,2012, , ,94.51,5,9,1,N, 
 ,창신쌍용2,11110-91,0703,0000,1993, , , ,"22,900",1,4,2012, , ,54.7,2,703,1,N, 
 ,갑을아파트,11110-68,0595,0000,1997, , , ,"10,700",7,4,2012, , ,30.46,7,595,1,N, 
 ,형우럭스빌(33-1),11110-2073,0033,0001,2005, , , ,"44,000",16,4,2012, , ,103.07,1,33-1,1,N, 
 ,창신이수,11110-42,0023,0816,2003, , , ,"46,000",14,4,2012, , ,84.5,7,23-816,1,N, 
 ,CS타워,11110-2291,0062,0002,2011, , , ,"16,000",9,4,2012, , ,21.94,9,62-2,1,N, 
 ,인왕산아이파크,11110-2212,0060,0000,2008, , , ,"52,000",10,4,2012, , ,84.858,16,60,1,N, 
 ,롯데캐슬로잔,11110-2246,0108,0000,2009, , , ,"180,000",31,5,2012, , ,219.775,4,108,1,N, 
 ,롯데캐슬로잔,11110-2246,0108,0000,2009, , , ,"138,456",2,5,2012, , ,190.743,5,108,1,N, 
 ,롯데캐슬로잔,11110-2246,0108,0000,2009, , , ,"141,240",30,5,2012, , ,200.331,1,108,1,N, 
 ,롯데캐슬로잔,11110-2246,0108,0000,2009, , , ,"175,099",31,5,2012, , ,239.484,7,108,1,N, 
 ,롯데캐슬로잔,11110-2246,0108,0000,2009, , , ,"179,588",29,5,2012, , ,219.775,5,108,1,N, 
 ,MID그린(5동),11110-98,0601,0004,2002, , , ,"25,500",8,5,2012, , ,59.04,2,601-4,1,N, 
 ,아남1,11110-25,0004,0000,1995, , , ,"48,000",12,5,2012, , ,84.9,1,4,1,N, 
 ,유성,11110-38,0640,0076,1996, , , ,"22,850",24,5,2012, , ,59.94,1,640-76,1,N, 
 ,현대,11110-90,0082,0000,2000, , , ,"65,840",12,5,2012, , ,114.9,14,82,1,N, 
 ,CS타워,11110-2291,0062,0002,2011, , , ,"17,033",29,5,2012, , ,21.94,6,62-2,1,N, 
 ,창신쌍용1,11110-37,0702,0000,1992, , , ,"25,700",29,5,2012, , ,54.7,10,702,1,N, 
 ,창신쌍용2,11110-91,0703,0000,1993, , , ,"29,000",7,5,2012, , ,79.87,3,703,1,N, 
 ,창신쌍용1,11110-37,0702,0000,1992, , , ,"24,000",30,5,2012, , ,54.7,14,702,1,N, 
 ,두산,11110-34,0232,0000,1999, , , ,"48,100",3,5,2012, , ,84.9,7,232,1,N, 
 ,CS타워,11110-2291,0062,0002,2011, , , ,"15,531",28,5,2012, , ,22.17,13,62-2,1,N, 
 ,인왕산아이파크,11110-2212,0060,0000,2008, , , ,"100,000",4,5,2012, , ,157.289,10,60,1,N, 
 ,두산,11110-34,0232,0000,1999, , , ,"48,000",17,5,2012, , ,84.9,11,232,1,N, 
 ,CS타워,11110-2291,0062,0002,2011, , , ,"15,531",22,5,2012, , ,22.17,14,62-2,1,N, 
 ,CS타워,11110-2291,0062,0002,2011, , , ,"16,960",5,5,2012, , ,21.94,7,62-2,1,N, 
 ,CS타워,11110-2291,0062,0002,2011, , , ,"17,033",21,5,2012, , ,21.94,8,62-2,1,N, 
 ,CS타워,11110-2291,0062,0002,2011, , , ,"17,033",21,5,2012, , ,22.17,13,62-2,1,N, 
 ,CS타워,11110-2291,0062,0002,2011, , , ,"17,033",16,5,2012, , ,21.94,7,62-2,1,N, 
 ,CS타워,11110-2291,0062,0002,2011, , , ,"15,411",20,5,2012, , ,22.17,12,62-2,1,N, 
 ,운현신화타워,11110-16,0030,0006,1998, , , ,"32,500",17,5,2012, , ,84.26,7,30-6,1,N, 
 ,CS타워,11110-2291,0062,0002,2011, , , ,"17,033",20,5,2012, , ,21.94,7,62-2,1,N, 
 ,CS타워,11110-2291,0062,0002,2011, , , ,"17,033",18,5,2012, , ,21.94,6,62-2,1,N, 
 ,르트랑시망,11110-2211,0102,0000,2008, , , ,"60,000",15,5,2012, , ,135.17,5,102,1,N, 
 ,창신쌍용2,11110-91,0703,0000,1993, , , ,"24,500",19,5,2012, , ,64.66,2,703,1,N, 
 ,현대뜨레비앙,11110-102,0055,0000,2003, , , ,"22,500",11,5,2012, , ,46.64,3,55,1,N, 
 ,무악다온채,11110-2301,0066,0001,2011, , , ,"29,000",11,5,2012, , ,64.12,8,66-1,1,N, 
 ,광화문스페이스본(101동~105동),11110-2203,0009,0000,2008, , , ,"73,000",18,5,2012, , ,94.51,2,9,1,N, 
 ,CS타워,11110-2291,0062,0002,2011, , , ,"17,033",5,5,2012, , ,21.94,10,62-2,1,N, 
 ,CS타워,11110-2291,0062,0002,2011, , , ,"15,186",6,5,2012, , ,22.17,10,62-2,1,N, 
 ,대아파크빌,11110-86,0254,0000,1998, , , ,"23,400",10,5,2012, , ,59.22,10,254,1,N, 
 ,르트랑시망,11110-2211,0102,0000,2008, , , ,"60,500",2,5,2012, , ,140.97,1,102,1,N, 
 ,르트랑시망,11110-2211,0102,0000,2008, , , ,"60,500",2,5,2012, , ,140.49,1,102,1,N, 
 ,광화문스페이스본(106동),11110-2204,0009,0001,2008, , , ,"115,000",3,5,2012, , ,150.4,6,9-1,1,N, 
 ,롯데캐슬로잔,11110-2246,0108,0000,2009, , , ,"158,218",21,6,2012, , ,200.165,5,108,1,N, 
 ,두산,11110-34,0232,0000,1999, , , ,"35,500",22,6,2012, , ,59.95,20,232,1,N, 
 ,창신쌍용2,11110-91,0703,0000,1993, , , ,"25,500",16,6,2012, , ,64.66,9,703,1,N, 
 ,CS타워,11110-2291,0062,0002,2011, , , ,"15,411",7,6,2012, , ,22.17,12,62-2,1,N, 
 ,현대,11110-90,0082,0000,2000, , , ,"37,700",1,6,2012, , ,60,12,82,1,N, 
 ,세종,11110-13,0100,0000,1983, , , ,"42,000",5,6,2012, , ,91.68,4,100,1,N, 
 ,대성스카이렉스,11110-2223,0110,0000,2008, , , ,"96,000",15,6,2012, , ,149.72,5,110,1,N, 
 ,브라운스톤창신,11110-2150,0023,0076,2006, , , ,"40,200",11,6,2012, , ,84.81,11,23-76,1,N, 
 ,도시그린빌라,11110-44,0181,0121,1997, , , ,"20,500",20,6,2012, , ,57.45,5,181-121,1,N, 
 ,롯데캐슬로잔,11110-2246,0108,0000,2009, , , ,"155,254",8,6,2012, , ,200.165,3,108,1,N, 
 ,롯데캐슬로잔,11110-2246,0108,0000,2009, , , ,"179,861",7,6,2012, , ,219.775,3,108,1,N, 
 ,경희궁의아침3단지,11110-116,0072,0000,2004, , , ,"120,000",12,6,2012, , ,150.48,4,72,1,N, 
 ,벽산블루밍평창힐스,11110-146,0045,0000,2004, , , ,"100,000",13,6,2012, , ,186.9,4,45,1,N, 
 ,CS타워,11110-2291,0062,0002,2011, , , ,"18,321",12,6,2012, , ,21.94,11,62-2,1,N, 
 ,현대뜨레비앙,11110-102,0055,0000,2003, , , ,"21,000",19,6,2012, , ,43.98,6,55,1,N, 
 ,현대,11110-90,0082,0000,2000, , , ,"48,400",4,6,2012, , ,84.92,18,82,1,N, 
 ,벽산블루밍평창힐스,11110-146,0045,0000,2004, , , ,"86,000",3,6,2012, , ,150.94,3,45,1,N, 
 ,CS타워,11110-2291,0062,0002,2011, , , ,"17,033",1,6,2012, , ,21.94,6,62-2,1,N, 
 ,동일상가,11110-47,0232,0029,1971, , , ,"10,500",7,6,2012, , ,51.34,5,232-29,1,N, 
 ,CS타워,11110-2291,0062,0002,2011, , , ,"15,186",13,6,2012, , ,22.17,9,62-2,1,N, 
 ,CS타워,11110-2291,0062,0002,2011, , , ,"17,033",6,6,2012, , ,21.94,5,62-2,1,N, 
 ,MID그린(4동),11110-97,0601,0005,2002, , , ,"23,000",1,6,2012, , ,59.55,4,601-5,1,N, 
 ,대성아파트,11110-52,0041,0001,1971, , , ,"7,500",11,6,2012, , ,19.27,5,41-1,1,N, 
 ,하림빌라트,11110-131,0473,0000,1998, , , ,"13,200",8,6,2012, , ,30.41,2,473,1,N, 
 ,현대뜨레비앙,11110-102,0055,0000,2003, , , ,"17,600",4,6,2012, , ,45.5,5,55,1,N, 
 ,롯데캐슬로잔,11110-2246,0108,0000,2009, , , ,"141,929",3,7,2012, , ,190.743,4,108,1,N, 
 ,롯데캐슬로잔,11110-2246,0108,0000,2009, , , ,"183,842",27,7,2012, , ,244.937,5,108,1,N, 
 ,롯데캐슬로잔,11110-2246,0108,0000,2009, , , ,"175,770",24,7,2012, , ,239.484,9,108,1,N, 
 ,롯데캐슬로잔,11110-2246,0108,0000,2009, , , ,"134,540",26,7,2012, , ,190.743,2,108,1,N, 
