aptDong,aptNm,aptSeq,bonbun,bubun,buildYear,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,excluUseAr,floor,jibun,landCd,landLeaseholdGbn,rgstDate
 ,동대문,11110-30,0328,0017,1966, , , ,"13,700",9,2,2006, , ,28.8,4,328-17,1,N, 
 ,창신쌍용1,11110-37,0702,0000,1992, , , ,"24,500",20,2,2006, , ,79.87,3,702,1,N, 
 ,현대,11110-90,0082,0000,2000, , , ,"46,000",20,2,2006, , ,114.9,4,82,1,N, 
 ,낙원,11110-17,0288,0000,1968, , , ,"30,000",17,2,2006, , ,108.89,9,288,1,N, 
 ,아남1,11110-25,0004,0000,1995, , , ,"41,000",16,2,2006, , ,84.9,11,4,1,N, 
 ,두산,11110-34,0232,0000,1999, , , ,"20,500",2,2,2006, , ,59.95,2,232,1,N, 
 ,명륜동주상복합아남아파트,11110-26,0237,0000,1999, , , ,"31,000",8,2,2006, , ,65.78,6,237,1,N, 
 ,명륜동주상복합아남아파트,11110-26,0237,0000,1999, , , ,"38,000",8,2,2006, , ,88.74,8,237,1,N, 
 ,벽산블루밍평창힐스,11110-146,0045,0000,2004, , , ,"93,000",2,2,2006, , ,186.9,4,45,1,N, 
 ,현대,11110-90,0082,0000,2000, , , ,"53,700",16,3,2006, , ,114.9,12,82,1,N, 
 ,현대,11110-90,0082,0000,2000, , , ,"59,900",23,3,2006, , ,114.9,17,82,1,N, 
 ,현대,11110-90,0082,0000,2000, , , ,"54,800",27,3,2006, , ,114.9,6,82,1,N, 
 ,창신쌍용2,11110-91,0703,0000,1993, , , ,"13,900",31,3,2006, , ,54.7,9,703,1,N, 
 ,롯데미도파광화문빌딩,11110-12,0145,0000,1981, , , ,"50,000",13,3,2006, , ,149.95,7,145,1,N, 
 ,현대,11110-90,0082,0000,2000, , , ,"42,800",24,3,2006, , ,84.92,19,82,1,N, 
 ,일성빌라트,11110-77,0145,0005,1996, , , ,"23,950",31,3,2006, , ,59.82,2,145-5,1,N, 
 ,현대,11110-90,0082,0000,2000, , , ,"56,000",27,3,2006, , ,114.9,15,82,1,N, 
 ,경희궁파크팰리스,11110-107,0095,0000,2003, , , ,"105,000",22,3,2006, , ,146.33,9,95,1,N, 
 ,MID그린(8동),11110-43,0602,0001,2002, , , ,"14,000",20,3,2006, , ,59.01,5,602-1,1,N, 
 ,현대,11110-90,0082,0000,2000, , , ,"23,000",27,3,2006, , ,60,10,82,1,N, 
 ,창신쌍용1,11110-37,0702,0000,1992, , , ,"15,900",20,3,2006, , ,54.7,3,702,1,N, 
 ,일우,11110-130,0602,0000,2002, , , ,"13,500",27,3,2006, , ,59.3,2,602,1,N, 
 ,롯데낙천대,11110-71,0072,0000,2001, , , ,"50,000",8,3,2006, , ,91.06,12,72,1,N, 
 ,창신쌍용2,11110-91,0703,0000,1993, , , ,"28,000",20,3,2006, , ,115.53,9,703,1,N, 
 ,창신쌍용1,11110-37,0702,0000,1992, , , ,"13,000",3,3,2006, , ,54.7,2,702,1,N, 
 ,창신쌍용2,11110-91,0703,0000,1993, , , ,"31,000",14,3,2006, , ,115.53,10,703,1,N, 
 ,효자,11110-204,0005,0001,1999, , , ,"7,300",16,3,2006, , ,53.49,5,5-1,1,N, 
 ,창신쌍용2,11110-91,0703,0000,1993, , , ,"29,000",28,3,2006, , ,115.53,14,703,1,N, 
 ,창신쌍용2,11110-91,0703,0000,1993, , , ,"13,000",23,3,2006, , ,54.7,6,703,1,N, 
 ,창신쌍용1,11110-37,0702,0000,1992, , , ,"23,000",21,3,2006, , ,79.87,6,702,1,N, 
 ,창신쌍용2,11110-91,0703,0000,1993, , , ,"31,500",24,3,2006, , ,115.53,5,703,1,N, 
 ,창신쌍용2,11110-91,0703,0000,1993, , , ,"16,600",16,3,2006, , ,64.66,8,703,1,N, 
 ,창신쌍용2,11110-91,0703,0000,1993, , , ,"20,600",7,3,2006, , ,79.87,6,703,1,N, 
 ,구암하이빌,11110-89,0105,0022,2002, , , ,"14,550",10,3,2006, , ,75.89,3,105-22,1,N, 
 ,창신쌍용1,11110-37,0702,0000,1992, , , ,"25,500",25,3,2006, , ,79.87,10,702,1,N, 
 ,효자,11110-204,0005,0001,1999, , , ,"7,750",11,3,2006, , ,56.53,4,5-1,1,N, 
 ,크래스빌,11110-101,0046,0001,2003, , , ,"55,000",10,3,2006, , ,175.81,3,46-1,1,N, 
 ,두산,11110-34,0232,0000,1999, , , ,"23,500",25,3,2006, , ,59.95,8,232,1,N, 
 ,건양하늘터,11110-2128,0023,0000,2006, , , ,"35,000",16,3,2006, , ,84.78,2,23,1,N, 
 ,건양하늘터,11110-2128,0023,0000,2006, , , ,"34,040",10,3,2006, , ,84.78,2,23,1,N, 
 ,건양하늘터,11110-2128,0023,0000,2006, , , ,"32,788",6,3,2006, , ,82.63,1,23,1,N, 
 ,삼성,11110-73,0596,0000,1998, , , ,"25,800",5,3,2006, , ,84.93,12,596,1,N, 
 ,현대,11110-90,0082,0000,2000, , , ,"35,100",18,3,2006, , ,84.92,9,82,1,N, 
 ,경희궁파크팰리스,11110-107,0095,0000,2003, , , ,"73,000",3,3,2006, , ,103.77,8,95,1,N, 
 ,삼성,11110-73,0596,0000,1998, , , ,"26,500",4,3,2006, , ,84.93,14,596,1,N, 
 ,창신쌍용1,11110-37,0702,0000,1992, , , ,"22,500",17,3,2006, , ,79.87,2,702,1,N, 
 ,창신이수,11110-42,0023,0816,2003, , , ,"21,500",6,3,2006, , ,68.06,3,23-816,1,N, 
 ,창신쌍용1,11110-37,0702,0000,1992, , , ,"21,600",25,3,2006, , ,79.87,8,702,1,N, 
 ,숭인상가,11110-48,0204,0011,1979, , , ,"20,000",31,3,2006, , ,80.85,8,204-11,1,N, 
 ,MID그린(3동),11110-96,0601,0002,2002, , , ,"15,000",4,3,2006, , ,58.88,5,601-2,1,N, 
 ,낙원,11110-17,0288,0000,1968, , , ,"14,000",3,3,2006, , ,73.59,13,288,1,N, 
 ,창신쌍용2,11110-91,0703,0000,1993, , , ,"29,200",1,3,2006, , ,115.53,14,703,1,N, 
 ,세종로대우,11110-14,0167,0000,1994, , , ,"47,000",23,3,2006, , ,100.44,15,167,1,N, 
 ,경희궁파크팰리스,11110-107,0095,0000,2003, , , ,"73,500",6,3,2006, , ,117.26,5,95,1,N, 
