동,아파트이름,아파트일련번호,번지,부번,건축년도,매수구분,거래유형,거래금액,거래구분,부동산소속시군구명,전용면적,층수,지번,토지코드,토지임대여부,등록일자,거래날짜
 ,명륜동주상복합아남아파트,11110-26,237,0,1999, , ,"30,800", , ,65.78,4,237,1,N, ,2008-03-18
 ,삼성,11110-73,596,0,1998, , ,"22,500", , ,59.97,7,596,1,N, ,2008-03-13
 ,두산,11110-34,232,0,1999, , ,"41,501", , ,84.9,10,232,1,N, ,2008-03-12
 ,동성아파트(2동),11110-123,4,157,1999, , ,"14,900", , ,59.34,4,4-157,1,N, ,2008-03-12
 ,창신쌍용2,11110-91,703,0,1993, , ,"38,500", , ,106.62,3,703,1,N, ,2008-03-07
 ,창신쌍용2,11110-91,703,0,1993, , ,"24,000", , ,64.66,7,703,1,N, ,2008-03-01
 ,현대뜨레비앙,11110-102,55,0,2003, , ,"15,700", , ,46.64,2,55,1,N, ,2008-03-05
 ,아남2,11110-92,236,0,1996, , ,"39,000", , ,84.9,3,236,1,N, ,2008-03-01
 ,현대,11110-90,82,0,2000, , ,"54,480", , ,84.92,17,82,1,N, ,2008-04-22
 ,세종로대우,11110-14,167,0,1994, , ,"38,500", , ,66.96,14,167,1,N, ,2008-04-25
 ,현대,11110-90,82,0,2000, , ,"51,790", , ,84.92,11,82,1,N, ,2008-04-29
 ,두산,11110-34,232,0,1999, , ,"34,000", , ,59.95,20,232,1,N, ,2008-04-25
 ,창신쌍용2,11110-91,703,0,1993, , ,"34,000", , ,79.87,5,703,1,N, ,2008-04-18
 ,동성아파트(2동),11110-123,4,157,1999, , ,"20,000", , ,59.34,1,4-157,1,N, ,2008-04-14
 ,현대,11110-90,82,0,2000, , ,"36,980", , ,60.0,12,82,1,N, ,2008-04-09
 ,창신쌍용1,11110-37,702,0,1992, , ,"23,500", , ,54.7,3,702,1,N, ,2008-04-25
 ,삼성,11110-73,596,0,1998, , ,"26,700", , ,59.97,3,596,1,N, ,2008-04-28
 ,현대,11110-90,82,0,2000, , ,"83,990", , ,114.9,14,82,1,N, ,2008-04-14
 ,일성빌라트,11110-77,145,5,1996, , ,"26,900", , ,59.82,5,145-5,1,N, ,2008-04-04
 ,숭인상가,11110-48,204,11,1979, , ,"33,500", , ,80.85,6,204-11,1,N, ,2008-04-18
 ,운현신화타워,11110-16,30,6,1998, , ,"26,500", , ,84.91,13,30-6,1,N, ,2008-04-24
 ,롯데캐슬천지인,11110-152,76,0,2004, , ,"72,500", , ,112.54,28,76,1,N, ,2008-04-09
 ,신동아블루아광화문의꿈,11110-2164,254,0,2007, , ,"55,700", , ,108.95,9,254,1,N, ,2008-04-28
 ,숭인상가,11110-48,204,11,1979, , ,"30,000", , ,80.85,4,204-11,1,N, ,2008-04-11
 ,형우럭스빌(33-1),11110-2073,33,1,2005, , ,"41,500", , ,103.07,2,33-1,1,N, ,2008-04-23
 ,리치캐슬아파트,11110-128,33,85,2003, , ,"27,800", , ,64.68,4,33-85,1,N, ,2008-04-01
 ,도시그린빌라,11110-44,181,121,1997, , ,"18,500", , ,58.79,1,181-121,1,N, ,2008-04-14
 ,두산,11110-34,232,0,1999, , ,"31,500", , ,59.95,5,232,1,N, ,2008-04-26
 ,건양하늘터,11110-2128,23,0,2006, , ,"38,000", , ,84.89,2,23,1,N, ,2008-04-21
 ,아남1,11110-25,4,0,1995, , ,"54,000", , ,84.9,15,4,1,N, ,2008-04-25
 ,창신쌍용2,11110-91,703,0,1993, , ,"35,000", , ,79.87,6,703,1,N, ,2008-04-24
 ,창신쌍용2,11110-91,703,0,1993, , ,"32,000", , ,79.87,8,703,1,N, ,2008-04-01
 ,창신쌍용1,11110-37,702,0,1992, , ,"35,400", , ,79.87,11,702,1,N, ,2008-04-22
 ,현대,11110-90,82,0,2000, , ,"55,950", , ,84.92,6,82,1,N, ,2008-04-15
 ,두산,11110-34,232,0,1999, , ,"44,000", , ,84.9,3,232,1,N, ,2008-04-18
 ,경희궁의아침4단지,11110-117,73,0,2004, , ,"112,000", , ,124.17,12,73,1,N, ,2008-04-10
 ,창신쌍용2,11110-91,703,0,1993, , ,"45,200", , ,115.53,7,703,1,N, ,2008-04-14
 ,창신쌍용1,11110-37,702,0,1992, , ,"39,500", , ,79.87,9,702,1,N, ,2008-04-23
 ,대아파크빌,11110-86,254,0,1998, , ,"20,500", , ,59.22,4,254,1,N, ,2008-04-24
 ,창신쌍용2,11110-91,703,0,1993, , ,"25,800", , ,64.66,11,703,1,N, ,2008-04-19
 ,창신쌍용1,11110-37,702,0,1992, , ,"45,000", , ,106.62,13,702,1,N, ,2008-04-17
 ,창신쌍용2,11110-91,703,0,1993, , ,"46,000", , ,115.53,9,703,1,N, ,2008-04-10
 ,동대문,11110-30,328,17,1966, , ,"20,000", , ,28.8,5,328-17,1,N, ,2008-04-08
 ,현대,11110-90,82,0,2000, , ,"55,760", , ,84.92,15,82,1,N, ,2008-04-26
 ,창신쌍용2,11110-91,703,0,1993, , ,"44,800", , ,106.62,6,703,1,N, ,2008-04-17
 ,두산,11110-34,232,0,1999, , ,"28,000", , ,59.95,4,232,1,N, ,2008-04-24
 ,창신쌍용2,11110-91,703,0,1993, , ,"27,000", , ,64.66,9,703,1,N, ,2008-04-29
 ,창신쌍용1,11110-37,702,0,1992, , ,"26,900", , ,54.7,10,702,1,N, ,2008-04-04
 ,창신이수,11110-42,23,816,2003, , ,"43,300", , ,84.5,10,23-816,1,N, ,2008-04-18
 ,두산,11110-34,232,0,1999, , ,"31,500", , ,59.95,7,232,1,N, ,2008-04-28
 ,구암하이빌,11110-89,105,22,2002, , ,"26,200", , ,74.45,3,105-22,1,N, ,2008-04-21
 ,현대,11110-90,82,0,2000, , ,"29,970", , ,60.0,6,82,1,N, ,2008-04-20
 ,창신쌍용2,11110-91,703,0,1993, , ,"31,000", , ,79.87,10,703,1,N, ,2008-04-06
 ,명륜동주상복합아남아파트,11110-26,237,0,1999, , ,"26,200", , ,44.37,8,237,1,N, ,2008-04-27
 ,현대뜨레비앙,11110-102,55,0,2003, , ,"16,300", , ,48.54,7,55,1,N, ,2008-04-08
 ,건양하늘터,11110-2128,23,0,2006, , ,"43,500", , ,84.9,4,23,1,N, ,2008-04-30
 ,현대,11110-90,82,0,2000, , ,"34,680", , ,60.0,12,82,1,N, ,2008-04-09
 ,갑을아파트,11110-68,595,0,1997, , ,"17,500", , ,64.88,6,595,1,N, ,2008-04-15
 ,아미레스아파트,11110-24,45,5,2002, , ,"28,800", , ,84.59,4,45-5,1,N, ,2008-04-15
 ,그린,11110-41,23,326,2002, , ,"19,000", , ,44.6,2,23-326,1,N, ,2008-04-14
 ,창신쌍용2,11110-91,703,0,1993, , ,"43,500", , ,106.62,5,703,1,N, ,2008-04-17
 ,두산,11110-34,232,0,1999, , ,"48,000", , ,84.9,15,232,1,N, ,2008-04-11
 ,아미레스아파트,11110-24,45,5,2002, , ,"36,000", , ,84.59,3,45-5,1,N, ,2008-04-01
 ,아남1,11110-25,4,0,1995, , ,"53,400", , ,84.9,13,4,1,N, ,2008-04-14
 ,효성쥬얼리시티,11110-2155,48,2,2006, , ,"45,650", , ,84.7,16,48-2,1,N, ,2008-04-21
 ,동아,11110-51,101,0,1995, , ,"30,000", , ,59.98,5,101,1,N, ,2008-04-09
 ,창신쌍용2,11110-91,703,0,1993, , ,"21,400", , ,54.7,2,703,1,N, ,2008-04-03
 ,창신쌍용2,11110-91,703,0,1993, , ,"21,400", , ,54.7,2,703,1,N, ,2008-04-03
 ,현대,11110-90,82,0,2000, , ,"53,490", , ,84.92,8,82,1,N, ,2008-05-05
 ,도시그린빌라트18차,11110-1465,820,1,1997, , ,"21,000", , ,59.76,4,820-1,1,N, ,2008-05-20
 ,현대,11110-90,82,0,2000, , ,"37,150", , ,60.0,16,82,1,N, ,2008-05-26
 ,현대,11110-90,82,0,2000, , ,"55,450", , ,84.92,7,82,1,N, ,2008-05-31
 ,현대,11110-90,82,0,2000, , ,"80,950", , ,114.9,6,82,1,N, ,2008-05-09
 ,현대,11110-90,82,0,2000, , ,"54,950", , ,84.92,5,82,1,N, ,2008-05-09
 ,롯데캐슬천지인,11110-152,76,0,2004, , ,"54,500", , ,84.95,17,76,1,N, ,2008-05-09
 ,일성빌라트,11110-77,145,5,1996, , ,"23,400", , ,84.99,1,145-5,1,N, ,2008-05-24
 ,효성쥬얼리시티,11110-2155,48,2,2006, , ,"58,000", , ,98.39,16,48-2,1,N, ,2008-05-21
 ,창신쌍용1,11110-37,702,0,1992, , ,"35,500", , ,79.87,5,702,1,N, ,2008-05-08
 ,대성아파트,11110-52,41,1,1971, , ,"7,200", , ,30.28,2,41-1,1,N, ,2008-05-31
 ,창신쌍용2,11110-91,703,0,1993, , ,"35,500", , ,79.87,6,703,1,N, ,2008-05-28
 ,현대,11110-90,82,0,2000, , ,"76,250", , ,114.9,4,82,1,N, ,2008-05-07
 ,현대,11110-90,82,0,2000, , ,"56,490", , ,84.92,16,82,1,N, ,2008-05-02
 ,창신쌍용2,11110-91,703,0,1993, , ,"44,700", , ,115.53,14,703,1,N, ,2008-05-18
 ,창신쌍용2,11110-91,703,0,1993, , ,"28,500", , ,79.87,2,703,1,N, ,2008-05-06
 ,창신쌍용2,11110-91,703,0,1993, , ,"31,200", , ,79.87,2,703,1,N, ,2008-05-07
 ,MID그린(7동),11110-100,601,8,2002, , ,"25,000", , ,59.04,3,601-8,1,N, ,2008-05-07
 ,창신쌍용2,11110-91,703,0,1993, , ,"25,900", , ,54.7,13,703,1,N, ,2008-05-28
 ,경희궁파크팰리스,11110-107,95,0,2003, , ,"133,000", , ,146.39,5,95,1,N, ,2008-05-23
 ,신동아블루아광화문의꿈,11110-2164,254,0,2007, , ,"90,000", , ,138.66,11,254,1,N, ,2008-05-15
 ,경희궁파크팰리스,11110-107,95,0,2003, , ,"95,000", , ,117.26,16,95,1,N, ,2008-05-07
 ,벽산블루밍평창힐스,11110-146,45,0,2004, , ,"94,000", , ,186.9,1,45,1,N, ,2008-05-29
 ,송림아마레스아파트,11110-121,9,1,2004, , ,"22,500", , ,60.48,6,9-1,1,N, ,2008-05-14
 ,현대뜨레비앙,11110-102,55,0,2003, , ,"15,800", , ,43.98,8,55,1,N, ,2008-05-22
 ,창신쌍용2,11110-91,703,0,1993, , ,"35,000", , ,79.87,9,703,1,N, ,2008-05-09
 ,현대,11110-90,82,0,2000, , ,"29,990", , ,60.0,13,82,1,N, ,2008-05-20
 ,경희궁파크팰리스,11110-107,95,0,2003, , ,"120,000", , ,146.39,5,95,1,N, ,2008-05-27
 ,현대,11110-90,82,0,2000, , ,"36,950", , ,60.0,4,82,1,N, ,2008-05-15
 ,창신쌍용2,11110-91,703,0,1993, , ,"26,000", , ,64.66,4,703,1,N, ,2008-05-13
 ,두산,11110-34,232,0,1999, , ,"33,000", , ,59.95,7,232,1,N, ,2008-05-19
 ,창신쌍용2,11110-91,703,0,1993, , ,"47,500", , ,106.62,6,703,1,N, ,2008-05-16
 ,창신쌍용1,11110-37,702,0,1992, , ,"37,000", , ,79.87,13,702,1,N, ,2008-05-10
 ,동대문,11110-30,328,17,1966, , ,"20,000", , ,28.8,2,328-17,1,N, ,2008-05-14
 ,두산,11110-34,232,0,1999, , ,"33,000", , ,59.95,17,232,1,N, ,2008-05-14
 ,로얄팰리스스위트,11110-205,85,0,2005, , ,"27,500", , ,39.67,17,85,1,N, ,2008-05-19
 ,창신쌍용1,11110-37,702,0,1992, , ,"45,000", , ,106.62,4,702,1,N, ,2008-05-19
 ,대성아파트,11110-52,41,1,1971, , ,"13,000", , ,19.27,2,41-1,1,N, ,2008-05-19
 ,렉스빌,11110-973,19,0,2006, , ,"45,000", , ,106.98,2,19,1,N, ,2008-05-13
 ,롯데캐슬천지인,11110-152,76,0,2004, , ,"67,000", , ,111.73,11,76,1,N, ,2008-05-19
 ,대성아파트,11110-52,41,1,1971, , ,"12,000", , ,30.28,5,41-1,1,N, ,2008-05-02
 ,현대,11110-90,82,0,2000, , ,"32,780", , ,60.0,3,82,1,N, ,2008-05-13
 ,창신쌍용1,11110-37,702,0,1992, , ,"46,000", , ,106.62,8,702,1,N, ,2008-05-08
 ,신문로맨션,11110-15,238,0,1981, , ,"36,500", , ,91.53,9,238,1,N, ,2008-05-13
 ,세종로대우,11110-14,167,0,1994, , ,"32,000", , ,76.66,14,167,1,N, ,2008-06-28
 ,현대,11110-90,82,0,2000, , ,"50,290", , ,84.92,5,82,1,N, ,2008-06-22
 ,창신쌍용2,11110-91,703,0,1993, , ,"27,400", , ,64.66,13,703,1,N, ,2008-06-15
 ,두산,11110-34,232,0,1999, , ,"49,300", , ,84.9,18,232,1,N, ,2008-06-19
 ,현대뜨레비앙,11110-102,55,0,2003, , ,"17,000", , ,48.54,3,55,1,N, ,2008-06-27
 ,창신쌍용1,11110-37,702,0,1992, , ,"41,500", , ,106.62,1,702,1,N, ,2008-06-01
 ,두산,11110-34,232,0,1999, , ,"34,250", , ,59.95,19,232,1,N, ,2008-06-19
 ,롯데낙천대,11110-71,72,0,2001, , ,"52,500", , ,87.27,12,72,1,N, ,2008-06-10
 ,창신쌍용1,11110-37,702,0,1992, , ,"48,900", , ,106.62,7,702,1,N, ,2008-06-20
 ,대성아파트,11110-52,41,1,1971, , ,"25,500", , ,94.94,3,41-1,1,N, ,2008-06-18
 ,대성아파트,11110-52,41,1,1971, , ,"24,500", , ,94.94,4,41-1,1,N, ,2008-06-05
 ,창신쌍용1,11110-37,702,0,1992, , ,"39,500", , ,79.87,5,702,1,N, ,2008-06-02
 ,삼성,11110-73,596,0,1998, , ,"27,800", , ,59.97,13,596,1,N, ,2008-06-10
 ,창신쌍용2,11110-91,703,0,1993, , ,"44,800", , ,115.53,13,703,1,N, ,2008-06-09
 ,도시그린빌라트18차,11110-1465,820,1,1997, , ,"20,500", , ,59.76,2,820-1,1,N, ,2008-06-06
 ,삼성,11110-73,596,0,1998, , ,"39,500", , ,84.93,12,596,1,N, ,2008-06-22
 ,창신쌍용1,11110-37,702,0,1992, , ,"48,000", , ,106.62,9,702,1,N, ,2008-06-07
 ,창신쌍용1,11110-37,702,0,1992, , ,"39,000", , ,79.87,6,702,1,N, ,2008-06-07
 ,창신쌍용1,11110-37,702,0,1992, , ,"37,400", , ,79.87,4,702,1,N, ,2008-06-22
 ,운현신화타워,11110-16,30,6,1998, , ,"26,500", , ,62.55,12,30-6,1,N, ,2008-06-17
 ,효성쥬얼리시티,11110-2155,48,2,2006, , ,"65,000", , ,106.81,17,48-2,1,N, ,2008-06-26
 ,효성쥬얼리시티,11110-2155,48,2,2006, , ,"52,000", , ,106.81,8,48-2,1,N, ,2008-06-30
 ,현대뜨레비앙,11110-102,55,0,2003, , ,"18,900", , ,48.54,8,55,1,N, ,2008-06-14
 ,현대뜨레비앙,11110-102,55,0,2003, , ,"17,000", , ,48.54,7,55,1,N, ,2008-06-26
 ,명륜동주상복합아남아파트,11110-26,237,0,1999, , ,"40,000", , ,65.78,2,237,1,N, ,2008-06-12
 ,창신쌍용2,11110-91,703,0,1993, , ,"35,800", , ,79.87,13,703,1,N, ,2008-06-10
 ,현대뜨레비앙,11110-102,55,0,2003, , ,"11,300", , ,28.1,9,55,1,N, ,2008-06-24
 ,삼성,11110-73,596,0,1998, , ,"38,000", , ,84.93,7,596,1,N, ,2008-06-16
 ,창신쌍용2,11110-91,703,0,1993, , ,"40,000", , ,115.53,7,703,1,N, ,2008-06-07
 ,창신쌍용2,11110-91,703,0,1993, , ,"33,000", , ,79.87,3,703,1,N, ,2008-06-12
 ,대아파크빌,11110-86,254,0,1998, , ,"20,000", , ,59.22,8,254,1,N, ,2008-06-10
 ,창신쌍용2,11110-91,703,0,1993, , ,"36,000", , ,79.87,14,703,1,N, ,2008-06-12
 ,삼흥,11110-35,638,45,1996, , ,"22,200", , ,57.42,6,638-45,1,N, ,2008-06-06
 ,삼성,11110-73,596,0,1998, , ,"35,000", , ,84.98,9,596,1,N, ,2008-06-10
 ,갑을아파트,11110-68,595,0,1997, , ,"9,400", , ,30.46,7,595,1,N, ,2008-06-12
 ,송림아마레스아파트,11110-127,2,12,2003, , ,"36,900", , ,84.81,2,2-12,1,N, ,2008-06-27
 ,현대뜨레비앙,11110-102,55,0,2003, , ,"17,000", , ,46.64,4,55,1,N, ,2008-06-10
 ,건양하늘터,11110-2128,23,0,2006, , ,"37,900", , ,84.9,1,23,1,N, ,2008-06-26
 ,두산,11110-34,232,0,1999, , ,"34,000", , ,59.95,13,232,1,N, ,2008-06-13
 ,두산,11110-34,232,0,1999, , ,"51,500", , ,84.9,14,232,1,N, ,2008-06-05
 ,갑을아파트,11110-68,595,0,1997, , ,"9,000", , ,30.46,13,595,1,N, ,2008-06-03
 ,동문상가,11110-33,436,41,1970, , ,"13,400", , ,45.3,6,436-41,1,N, ,2008-06-11
 ,경희궁의아침3단지,11110-116,72,0,2004, , ,"135,000", , ,150.48,13,72,1,N, ,2008-06-06
 ,방산아파트,11110-212,5,89,1995, , ,"11,300", , ,32.53,4,5-89,1,N, ,2008-06-04
 ,창신쌍용2,11110-91,703,0,1993, , ,"24,000", , ,64.66,7,703,1,N, ,2008-06-03
 ,두산,11110-34,232,0,1999, , ,"47,000", , ,84.9,8,232,1,N, ,2008-07-23
 ,크래스빌,11110-101,46,1,2003, , ,"78,500", , ,187.9,5,46-1,1,N, ,2008-07-23
 ,아남1,11110-25,4,0,1995, , ,"52,500", , ,84.9,11,4,1,N, ,2008-07-30
 ,일성빌라트,11110-77,145,5,1996, , ,"38,000", , ,84.99,2,145-5,1,N, ,2008-07-11
 ,롯데캐슬천지인,11110-152,76,0,2004, , ,"49,300", , ,84.95,5,76,1,N, ,2008-07-19
 ,낙원,11110-17,288,0,1968, , ,"21,500", , ,77.22,11,288,1,N, ,2008-07-16
 ,현대뜨레비앙,11110-102,55,0,2003, , ,"15,000", , ,45.5,4,55,1,N, ,2008-07-31
 ,현대,11110-90,82,0,2000, , ,"77,480", , ,114.9,11,82,1,N, ,2008-07-17
 ,브라운스톤창신,11110-2150,23,76,2006, , ,"42,000", , ,84.67,3,23-76,1,N, ,2008-07-28
 ,대성스카이렉스,11110-2223,110,0,2008, , ,"72,000", , ,116.03,7,110,1,N, ,2008-07-03
 ,도시그린빌라트18차,11110-1465,820,1,1997, , ,"20,000", , ,59.76,4,820-1,1,N, ,2008-07-07
 ,현대,11110-90,82,0,2000, , ,"54,950", , ,84.92,14,82,1,N, ,2008-07-19
 ,대성스카이렉스,11110-2223,110,0,2008, , ,"89,120", , ,137.55,15,110,1,N, ,2008-07-16
 ,갑을아파트,11110-68,595,0,1997, , ,"6,400", , ,30.55,13,595,1,N, ,2008-07-15
 ,두산,11110-34,232,0,1999, , ,"47,000", , ,84.9,8,232,1,N, ,2008-07-21
 ,갑을아파트,11110-68,595,0,1997, , ,"15,000", , ,64.88,5,595,1,N, ,2008-07-05
 ,경희궁의아침3단지,11110-116,72,0,2004, , ,"125,000", , ,124.17,11,72,1,N, ,2008-07-31
 ,삼성,11110-73,596,0,1998, , ,"40,300", , ,84.93,10,596,1,N, ,2008-07-06
 ,창신쌍용1,11110-37,702,0,1992, , ,"26,500", , ,54.7,7,702,1,N, ,2008-07-12
 ,아남2,11110-92,236,0,1996, , ,"35,000", , ,59.4,8,236,1,N, ,2008-07-02
 ,현대,11110-90,82,0,2000, , ,"54,950", , ,84.92,13,82,1,N, ,2008-07-19
 ,현대뜨레비앙,11110-102,55,0,2003, , ,"17,300", , ,48.54,5,55,1,N, ,2008-07-08
 ,창신쌍용2,11110-91,703,0,1993, , ,"27,900", , ,64.66,8,703,1,N, ,2008-07-15
 ,창신쌍용2,11110-91,703,0,1993, , ,"37,000", , ,79.87,7,703,1,N, ,2008-07-16
 ,아남1,11110-25,4,0,1995, , ,"54,000", , ,84.9,9,4,1,N, ,2008-07-11
 ,대성스카이렉스,11110-2223,110,0,2008, , ,"100,000", , ,149.8,10,110,1,N, ,2008-07-10
 ,동대문,11110-30,328,17,1966, , ,"20,500", , ,28.8,5,328-17,1,N, ,2008-07-01
 ,현대뜨레비앙,11110-102,55,0,2003, , ,"17,500", , ,48.54,4,55,1,N, ,2008-07-08
 ,광화문스페이스본(101동~105동),11110-2203,9,0,2008, , ,"110,000", , ,108.55,14,9,1,N, ,2008-08-25
 ,대성아파트,11110-52,41,1,1971, , ,"9,500", , ,45.39,5,41-1,1,N, ,2008-08-26
 ,현대,11110-90,82,0,2000, , ,"39,495", , ,60.0,11,82,1,N, ,2008-08-15
 ,창신쌍용2,11110-91,703,0,1993, , ,"36,900", , ,79.87,8,703,1,N, ,2008-08-20
 ,광화문스페이스본(101동~105동),11110-2203,9,0,2008, , ,"50,000", , ,70.8,12,9,1,N, ,2008-08-20
 ,동성아파트(2동),11110-123,4,157,1999, , ,"20,500", , ,59.34,1,4-157,1,N, ,2008-08-30
 ,창신쌍용1,11110-37,702,0,1992, , ,"37,000", , ,79.87,5,702,1,N, ,2008-08-28
 ,광화문스페이스본(101동~105동),11110-2203,9,0,2008, , ,"54,000", , ,70.8,3,9,1,N, ,2008-08-25
 ,현대,11110-90,82,0,2000, , ,"83,940", , ,114.9,12,82,1,N, ,2008-08-16
 ,로얄팰리스스위트,11110-205,85,0,2005, , ,"27,000", , ,39.67,10,85,1,N, ,2008-08-19
 ,창신쌍용2,11110-91,703,0,1993, , ,"45,000", , ,106.62,10,703,1,N, ,2008-08-19
 ,광화문스페이스본(101동~105동),11110-2203,9,0,2008, , ,"71,800", , ,94.51,10,9,1,N, ,2008-08-25
 ,광화문스페이스본(106동),11110-2204,9,1,2008, , ,"145,000", , ,153.42,8,9-1,1,N, ,2008-08-20
 ,창신쌍용1,11110-37,702,0,1992, , ,"27,300", , ,54.7,6,702,1,N, ,2008-08-19
 ,MID그린(3동),11110-96,601,2,2002, , ,"27,000", , ,58.91,6,601-2,1,N, ,2008-08-09
 ,현대뜨레비앙,11110-102,55,0,2003, , ,"16,277", , ,45.5,6,55,1,N, ,2008-08-20
 ,그린,11110-41,23,326,2002, , ,"18,000", , ,45.27,5,23-326,1,N, ,2008-08-12
 ,효성쥬얼리시티,11110-2155,48,2,2006, , ,"52,150", , ,106.81,17,48-2,1,N, ,2008-08-22
 ,낙원,11110-17,288,0,1968, , ,"18,000", , ,65.92,15,288,1,N, ,2008-08-25
 ,별빛고운,11110-2132,235,2,2006, , ,"27,000", , ,98.07,2,235-2,1,N, ,2008-08-12
 ,현대뜨레비앙,11110-102,55,0,2003, , ,"16,850", , ,48.54,6,55,1,N, ,2008-08-20
 ,현대뜨레비앙,11110-102,55,0,2003, , ,"17,200", , ,48.54,2,55,1,N, ,2008-08-21
 ,일성빌라트,11110-77,145,5,1996, , ,"28,000", , ,59.82,5,145-5,1,N, ,2008-08-13
 ,대성스카이렉스,11110-2223,110,0,2008, , ,"94,230", , ,149.8,6,110,1,N, ,2008-08-06
 ,광화문스페이스본(101동~105동),11110-2203,9,0,2008, , ,"95,000", , ,146.92,11,9,1,N, ,2008-09-26
 ,광화문스페이스본(101동~105동),11110-2203,9,0,2008, , ,"92,000", , ,151.81,1,9,1,N, ,2008-09-22
 ,효성쥬얼리시티,11110-2155,48,2,2006, , ,"50,700", , ,84.64,13,48-2,1,N, ,2008-09-12
 ,벽산블루밍평창힐스,11110-146,45,0,2004, , ,"84,000", , ,150.83,3,45,1,N, ,2008-09-25
 ,인왕산아이파크,11110-2212,60,0,2008, , ,"90,000", , ,114.931,9,60,1,N, ,2008-09-24
 ,송림아마레스아파트,11110-121,9,1,2004, , ,"28,000", , ,84.13,4,9-1,1,N, ,2008-09-04
 ,광화문스페이스본(106동),11110-2204,9,1,2008, , ,"100,540", , ,144.52,13,9-1,1,N, ,2008-09-10
 ,현대뜨레비앙,11110-102,55,0,2003, , ,"16,213", , ,45.5,7,55,1,N, ,2008-09-19
 ,현대,11110-90,82,0,2000, , ,"33,950", , ,60.0,7,82,1,N, ,2008-09-01
 ,광화문스페이스본(101동~105동),11110-2203,9,0,2008, , ,"68,000", , ,94.51,9,9,1,N, ,2008-09-05
 ,두산,11110-34,232,0,1999, , ,"32,500", , ,59.95,5,232,1,N, ,2008-09-22
 ,현대뜨레비앙,11110-102,55,0,2003, , ,"13,900", , ,36.08,6,55,1,N, ,2008-09-06
 ,아남2,11110-92,236,0,1996, , ,"41,500", , ,84.96,3,236,1,N, ,2008-09-29
 ,숭인상가,11110-48,204,11,1979, , ,"23,500", , ,80.85,8,204-11,1,N, ,2008-09-20
 ,숭인모범104동,11110-135,569,2,2000, , ,"17,700", , ,59.74,7,569-2,1,N, ,2008-09-09
 ,현대뜨레비앙,11110-102,55,0,2003, , ,"13,850", , ,36.08,6,55,1,N, ,2008-09-09
 ,갑을아파트,11110-68,595,0,1997, , ,"8,700", , ,30.46,6,595,1,N, ,2008-09-06
 ,동대문,11110-30,328,17,1966, , ,"20,200", , ,28.8,5,328-17,1,N, ,2008-09-10
 ,롯데캐슬천지인,11110-152,76,0,2004, , ,"62,000", , ,111.73,19,76,1,N, ,2008-10-27
 ,별빛고운,11110-2132,235,2,2006, , ,"21,700", , ,98.04,3,235-2,1,N, ,2008-10-30
 ,현대뜨레비앙,11110-102,55,0,2003, , ,"18,450", , ,48.54,6,55,1,N, ,2008-10-31
 ,벽산블루밍평창힐스,11110-146,45,0,2004, , ,"85,000", , ,150.94,1,45,1,N, ,2008-10-25
 ,갑을아파트,11110-68,595,0,1997, , ,"15,400", , ,53.33,8,595,1,N, ,2008-10-22
 ,별빛고운,11110-2132,235,2,2006, , ,"25,000", , ,110.34,2,235-2,1,N, ,2008-10-20
 ,광화문스페이스본(101동~105동),11110-2203,9,0,2008, , ,"97,000", , ,146.92,13,9,1,N, ,2008-10-10
 ,갑을아파트,11110-68,595,0,1997, , ,"6,300", , ,30.46,13,595,1,N, ,2008-10-14
 ,아남1,11110-25,4,0,1995, , ,"58,500", , ,84.9,13,4,1,N, ,2008-10-14
 ,인왕산아이파크,11110-2212,60,0,2008, , ,"65,000", , ,84.858,6,60,1,N, ,2008-10-15
 ,현대뜨레비앙,11110-102,55,0,2003, , ,"17,284", , ,48.54,6,55,1,N, ,2008-10-16
 ,현대뜨레비앙,11110-102,55,0,2003, , ,"18,700", , ,48.54,5,55,1,N, ,2008-10-01
 ,인왕산아이파크,11110-2212,60,0,2008, , ,"95,000", , ,114.931,6,60,1,N, ,2008-10-17
 ,광화문스페이스본(101동~105동),11110-2203,9,0,2008, , ,"120,000", , ,151.81,5,9,1,N, ,2008-10-11
 ,현대뜨레비앙,11110-102,55,0,2003, , ,"24,500", , ,58.78,3,55,1,N, ,2008-10-08
 ,로얄팰리스스위트,11110-205,85,0,2005, , ,"22,000", , ,36.86,9,85,1,N, ,2008-10-20
 ,두산,11110-34,232,0,1999, , ,"32,000", , ,59.95,4,232,1,N, ,2008-10-06
 ,창신쌍용1,11110-37,702,0,1992, , ,"28,000", , ,54.7,5,702,1,N, ,2008-10-03
 ,광화문스페이스본(101동~105동),11110-2203,9,0,2008, , ,"100,000", , ,146.92,1,9,1,N, ,2008-10-07
 ,광화문스페이스본(101동~105동),11110-2203,9,0,2008, , ,"95,000", , ,146.92,12,9,1,N, ,2008-10-01
 ,혜화훼미리,11110-206,20,12,2004, , ,"34,000", , ,111.86,3,20-12,1,N, ,2008-10-07
 ,삼성,11110-73,596,0,1998, , ,"32,500", , ,84.93,14,596,1,N, ,2008-10-08
 ,효성쥬얼리시티,11110-2155,48,2,2006, , ,"51,000", , ,92.81,15,48-2,1,N, ,2008-10-02
 ,효성쥬얼리시티,11110-2155,48,2,2006, , ,"58,000", , ,98.39,7,48-2,1,N, ,2008-11-17
 ,효자,11110-204,5,1,1999, , ,"12,000", , ,61.49,3,5-1,1,N, ,2008-11-19
